ProductGroupID;ProductGroupDescription;BooksEcobookstoreDescription;BooksFairnopolyID;BooksFairnopolyDescription;BooksGoogleDescription
487;Sachbuch, Ratgeber/Ratgeber/Briefe, Bewerbungen, Wissenschaftliche Arbeiten, Rhetorik;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Selbsthilfebücher 
489;Sachbuch, Ratgeber/Ratgeber/Sonstiges;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Selbsthilfebücher 
490;Sachbuch, Ratgeber/Ratgeber/Sachbuch;Ratgeber & Reiseführer;186;Bücher/Ratgeber;Medien > Bücher > Sachliteratur > Selbsthilfebücher
500;Geisteswissenschaften, Kunst, Musik;Fachbücher;189;Bücher/Fachbücher;Medien > Bücher > Sachliteratur
510;Geisteswissenschaften, Kunst, Musik/Allgemein;Fachbücher;189;Bücher/Fachbücher;Medien > Bücher > Sachliteratur
520;Geisteswissenschaften, Kunst, Musik/Philosophie;Fachbücher;298;Bücher/Fachbücher/Philosophie;Medien > Bücher > Sachliteratur > Philosophiebücher 
521;Geisteswissenschaften, Kunst, Musik/Philosophie/Populäre Darstellungen;Fachbücher;298;Bücher/Fachbücher/Philosophie;Medien > Bücher > Sachliteratur > Philosophiebücher
522;Geisteswissenschaften, Kunst, Musik/Philosophie/Allgemein, Lexika;Fachbücher;298;Bücher/Fachbücher/Philosophie;Medien > Bücher > Sachliteratur > Philosophiebücher 
523;Geisteswissenschaften, Kunst, Musik/Philosophie/Antike;Fachbücher;298;Bücher/Fachbücher/Philosophie;Medien > Bücher > Sachliteratur > Philosophiebücher
524;Geisteswissenschaften, Kunst, Musik/Philosophie/Mittelalter;Fachbücher;298;Bücher/Fachbücher/Philosophie;Medien > Bücher > Sachliteratur > Philosophiebücher 
