ProductGroupID;ProductGroupDescription;BooksEcobookstoreDescription;BooksFairnopolyID;BooksFairnopolyDescription;BooksGoogleDescription
333;Reise/Hotel-, Restaurant-, Campingführer/Afrika;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke 
334;Reise/Hotel-, Restaurant-, Campingführer/Naher Osten;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
335;Reise/Hotel-, Restaurant-, Campingführer/Asien;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
336;Reise/Hotel-, Restaurant-, Campingführer/Nordamerika, Mittelamerika;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
337;Reise/Hotel-, Restaurant-, Campingführer/Südamerika;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
338;Reise/Hotel-, Restaurant-, Campingführer/Australien, Ozeanien;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
339;Reise/Hotel-, Restaurant-, Campingführer/Welt;Ratgeber & Reiseführer;237;Bücher/Reise/Reiseführer;Medien > Bücher > Sachliteratur > Nachschlagewerke
340;Reise/Karten/Stadtpläne;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
341;Reise/Karten/Stadtpläne/Deutschland;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
342;Reise/Karten/Stadtpläne/Europa;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
343;Reise/Karten/Stadtpläne/Afrika;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
344;Reise/Karten/Stadtpläne/Naher Osten;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
345;Reise/Karten/Stadtpläne/Asien;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
346;Reise/Karten/Stadtpläne/Nordamerika, Mittelamerika;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
347;Reise/Karten/Stadtpläne/Südamerika;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
348;Reise/Karten/Stadtpläne/Australien, Ozeanien;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke 
349;Reise/Karten/Stadtpläne/Welt;Ratgeber & Reiseführer;235;Bücher/Reise/Karten & Atlanten;Medien > Bücher > Sachliteratur > Nachschlagewerke
350;Reise/Bildbände;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
351;Reise/Bildbände/Deutschland;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
352;Reise/Bildbände/Europa;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke 
353;Reise/Bildbände/Afrika;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke 
354;Reise/Bildbände/Naher Osten;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
355;Reise/Bildbände/Asien;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
356;Reise/Bildbände/Nordamerika, Mittelamerika;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
357;Reise/Bildbände/Südamerika;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
358;Reise/Bildbände/Australien, Ozeanien;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
359;Reise/Bildbände/Welt;Ratgeber & Reiseführer;241;Bücher/Reise/Bildbände;Medien > Bücher > Sachliteratur > Nachschlagewerke
360;Reise/Reiseberichte/Reiseerzählungen;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke 
361;Reise/Reiseberichte/Deutschland;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
362;Reise/Reiseberichte/Europa;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
363;Reise/Reiseberichte/Afrika;Ratgeber & Reiseführer;238;Bücher/Reise/Reiseberichte;Medien > Bücher > Sachliteratur > Nachschlagewerke
